,season,teamName,week,team,opponent,result,owner,opponent_owner
693,2020,Chub Chub,6,4,Munter Hunters,80.20 - 103.87 Loss,John,nickolai
694,2020,Chub Chub,7,4,Hackysack Millionaires,80.93 - 135.00 Loss,John,Peter
695,2020,Chub Chub,8,4,Washington Foreskins,75.30 - 134.00 Loss,John,Ryan
696,2020,Chub Chub,9,4,The Yoshinoya Beef Bowls,107.20 - 122.33 Loss,John,Kevin
697,2020,Chub Chub,10,4,Creamworks VII,168.90 - 79.50 Win,John,Owen
698,2020,Chub Chub,11,4,Bing Bong,122.90 - 152.03 Loss,John,zeyad
699,2020,Chub Chub,12,4,Footle My Tootle,146.17 - 155.47 Loss,John,Jake
700,2020,Chub Chub,13,4,Munter Hunters,142.10 - 140.37 Win,John,nickolai
701,2020,Chub Chub,14,4,Hackysack Millionaires,123.07 - 134.40 Loss,John,Peter
702,2020,Chub Chub,15,4,The Yoshinoya Beef Bowls,175.13 - 209.60 Loss,John,Kevin
703,2020,Chub Chub,16,4,Munter Hunters,226.53 - 170.70 Win,John,nickolai
704,2020,Hackysack Millionaires,1,5,Bing Bong,159.97 - 157.13 Win,Peter,zeyad
705,2020,Hackysack Millionaires,2,5,Footle My Tootle,155.90 - 146.30 Win,Peter,Jake
706,2020,Hackysack Millionaires,3,5,Munter Hunters,152.40 - 137.37 Win,Peter,nickolai
707,2020,Hackysack Millionaires,4,5,Creamworks VII,134.90 - 176.23 Loss,Peter,Owen
708,2020,Hackysack Millionaires,5,5,Washington Foreskins,161.33 - 173.67 Loss,Peter,Ryan
709,2020,Hackysack Millionaires,6,5,The Yoshinoya Beef Bowls,198.00 - 130.63 Win,Peter,Kevin
710,2020,Hackysack Millionaires,7,5,Chub Chub,135.00 - 80.93 Win,Peter,John
711,2020,Hackysack Millionaires,8,5,Bing Bong,151.40 - 154.93 Loss,Peter,zeyad
712,2020,Hackysack Millionaires,9,5,Footle My Tootle,130.03 - 125.53 Win,Peter,Jake
713,2020,Hackysack Millionaires,10,5,Munter Hunters,113.47 - 107.27 Win,Peter,nickolai
714,2020,Hackysack Millionaires,11,5,Creamworks VII,190.93 - 183.70 Win,Peter,Owen
715,2020,Hackysack Millionaires,12,5,Washington Foreskins,182.80 - 154.63 Win,Peter,Ryan
716,2020,Hackysack Millionaires,13,5,The Yoshinoya Beef Bowls,165.43 - 157.40 Win,Peter,Kevin
717,2020,Hackysack Millionaires,14,5,Chub Chub,134.40 - 123.07 Win,Peter,John
718,2020,Hackysack Millionaires,15,5,Bing Bong,136.97 - 194.47 Loss,Peter,zeyad
719,2020,Hackysack Millionaires,16,5,Washington Foreskins,143.43 - 168.30 Loss,Peter,Ryan
720,2020,Bing Bong,1,6,Hackysack Millionaires,157.13 - 159.97 Loss,zeyad,Peter
721,2020,Bing Bong,2,6,Washington Foreskins,160.00 - 201.60 Loss,zeyad,Ryan
722,2020,Bing Bong,3,6,The Yoshinoya Beef Bowls,148.40 - 127.77 Win,zeyad,Kevin
723,2020,Bing Bong,4,6,Chub Chub,162.84 - 207.77 Loss,zeyad,John
724,2020,Bing Bong,5,6,Creamworks VII,143.93 - 186.37 Loss,zeyad,Owen
725,2020,Bing Bong,6,6,Footle My Tootle,166.13 - 143.43 Win,zeyad,Jake
726,2020,Bing Bong,7,6,Munter Hunters,160.57 - 124.97 Win,zeyad,nickolai
727,2020,Bing Bong,8,6,Hackysack Millionaires,154.93 - 151.40 Win,zeyad,Peter
728,2020,Bing Bong,9,6,Washington Foreskins,150.17 - 201.43 Loss,zeyad,Ryan
